Date,Product,Category,Region,Quantity,Unit_Price,Sales,Cost,Profit,Month
2025-01-01,Mouse,Accessories,East,5,970,4850,2965.103736164018,1884.8962638359822,2025-01
2025-01-02,Mobile,Electronics,West,2,55757,111514,67781.3676237223,43732.6323762777,2025-01
2025-01-03,Mouse,Accessories,North,5,1665,8325,5613.137236621724,2711.862763378276,2025-01
2025-01-03,Keyboard,Accessories,North,1,2623,2623,1638.8360388043168,984.1639611956832,2025-01
2025-01-03,Printer,Office,West,5,13446,67230,47049.502254964944,20180.497745035056,2025-01
2025-01-04,Headphones,Electronics,South,2,1441,2882,2378.062343040816,503.9376569591841,2025-01
2025-01-05,Printer,Office,South,4,18135,72540,57462.5574598396,15077.442540160402,2025-01
2025-01-05,Printer,Office,South,5,14245,71225,59991.083707944825,11233.916292055175,2025-01
2025-01-05,Headphones,Electronics,North,2,5699,11398,7829.340951668406,3568.659048331594,2025-01
2025-01-06,Printer,Office,East,4,8000,32000,23474.770200235704,8525.229799764296,2025-01
2025-01-07,Headphones,Electronics,West,5,1906,9530,7675.254597198228,1854.745402801772,2025-01
2025-01-07,Tablet,Electronics,East,3,25395,76185,56243.60391642958,19941.39608357042,2025-01
2025-01-07,Keyboard,Accessories,South,2,1371,2742,2100.2278298733663,641.7721701266337,2025-01
2025-01-08,Monitor,Electronics,North,3,21997,65991,48344.25419913034,17646.745800869663,2025-01
2025-01-08,Mobile,Electronics,West,2,57324,114648,71480.1823159563,43167.81768404369,2025-01
2025-01-09,Keyboard,Accessories,West,1,3703,3703,2281.2414234973053,1421.7585765026947,2025-01
2025-01-09,Keyboard,Accessories,South,1,2118,2118,1316.8594893730917,801.1405106269083,2025-01
2025-01-09,Headphones,Electronics,East,1,4170,4170,3232.123037746614,937.876962253386,2025-01
2025-01-11,Monitor,Electronics,West,2,23358,46716,32464.027634985512,14251.972365014488,2025-01
2025-01-14,Tablet,Electronics,North,3,14667,44001,27726.86588527151,16274.134114728491,2025-01
2025-01-14,Keyboard,Accessories,South,5,2744,13720,10870.715785189795,2849.2842148102045,2025-01
